Dealer #,Original Order Date,Custome #,Product CD,Offer,Quantity Billed
3837687,8/6/2020,86895,TLT,Desktop,1
3837687,8/6/2020,86894,YA,Desktop,1
3837687,8/6/2020,86888,YA,Desktop,1
3837687,8/6/2020,86889,YAL,Desktop,1
3837687,8/4/2020,86261,YA,Desktop,1
3837687,8/31/2020,94124,VPR,Desktop,2
3837687,8/31/2020,94125,YAI,Desktop,1
3837687,8/31/2020,94120,TLT,Desktop,1
2380614,10/14/2020,9075,TLT,Desktop,1
2380614,10/15/2020,9458,VLT,Desktop,3
2380614,10/15/2020,9471,TLT,Desktop,1
2380614,10/15/2020,9458,TLT,Desktop,1
3837687,8/13/2020,88970,VPR,Desktop,1
3838438,8/13/2020,88966,TLT,Desktop,1
2380614,10/14/2020,9057,YAI,Desktop,1
3876574,9/29/2020,3762,YA,Desktop,1
3876574,10/15/2020,9453,TLT,Desktop,1
2380614,10/15/2020,9489,TLT,Desktop,1
2380614,10/15/2020,9457,YA,Desktop,1
2380614,10/15/2020,9467,V3D,Desktop,1
3837687,8/7/2020,87204,TLT,Desktop,1
2380614,10/15/2020,9479,VPR,Desktop,1
2380614,9/26/2020,2904,YAI,Desktop,1
2864974,8/24/2020,-1386,TGU,Standalone,1
2380614,10/15/2020,9468,YAL,Desktop,1
2380614,10/15/2020,9460,TLT,Desktop,1
2380614,9/29/2020,3778,YA,Desktop,1
2380614,9/27/2020,2939,TLT,Desktop,1
2380614,9/29/2020,3772,TLT,Desktop,1
2380614,9/27/2020,2941,TLT,Desktop,1
2380614,9/29/2020,3773,YA,Desktop,1
3837687,8/31/2020,94107,YA,Desktop,1
2380614,10/14/2020,9019,YAL,Desktop,1
2380614,9/27/2020,2915,TLT,Desktop,1
2380614,9/27/2020,2940,YA,Desktop,1
3876574,10/14/2020,9038,V3D,Desktop,1
3876574,10/14/2020,9057,TLT,Desktop,1
3876574,10/14/2020,9057,V3D,Desktop,1
3838438,8/13/2020,88982,YA,Desktop,1
3876574,10/14/2020,9078,V3D,Desktop,1
3838438,8/13/2020,88969,YA,Desktop,2
3838438,8/13/2020,88990,YA,Desktop,2
2380614,9/23/2020,1636,TLT,Desktop,1
2380614,9/28/2020,1636,TLT,Desktop,-1
3876574,10/14/2020,9074,TLT,Desktop,1
3838438,8/13/2020,88972,TLT,Desktop,1
3837687,8/26/2020,92754,YA,Desktop,1
2380614,9/29/2020,3776,YAI,Desktop,1
2380614,10/14/2020,9072,YA,Desktop,1
2380614,9/28/2020,3376,YA,Desktop,1
3837687,8/7/2020,86886,VPR,Desktop,1
2380614,10/15/2020,9477,TLT,Desktop,1
2380614,9/28/2020,3361,TLT,Desktop,1
2380614,9/28/2020,3360,TLT,Desktop,1
2380614,10/14/2020,9028,V3D,Desktop,1
3876574,10/15/2020,9136,TLT,Desktop,1
2380614,9/28/2020,3575,YA,Desktop,1
2380614,9/26/2020,2633,TLT,Desktop,1
3837687,8/7/2020,87197,TLT,Desktop,1
3876574,10/15/2020,9156,V3D,Desktop,1
2380614,9/28/2020,3378,TLT,Desktop,1
2380614,10/14/2020,9078,TLT,Desktop,1
2380614,10/14/2020,9076,TLT,Desktop,1
2380614,10/14/2020,9087,TLT,Desktop,1
2380614,10/14/2020,9080,YA,Desktop,1
2380614,10/14/2020,9096,VSI,Desktop,1
2380614,10/21/2020,11622,YA,Desktop,1
2380614,10/14/2020,9090,VPR,Desktop,1
2380614,10/14/2020,9086,YAL,Desktop,1
2380614,10/14/2020,9098,V3D,Desktop,1
3837687,8/7/2020,87187,TLT,Desktop,1
3837687,8/7/2020,86902,VSI,Desktop,1
2380614,10/14/2020,9100,YAI,Desktop,1
2380614,10/14/2020,9087,TLT,Desktop,2
3838438,8/7/2020,87186,YAL,Desktop,1
2380614,9/25/2020,2597,VPR,Desktop,1
2380614,9/28/2020,3379,YA,Desktop,1
2380614,9/28/2020,3337,V3D,Desktop,1
2380614,9/28/2020,3326,YAI,Desktop,1
431448,9/8/2020,5138,TGU,Standalone,-6
3876574,10/14/2020,9029,TLT,Desktop,1
2380614,9/26/2020,2616,VSI,Desktop,1
3876574,10/14/2020,9046,YA,Desktop,1
3838438,8/7/2020,87194,YAI,Desktop,1
3837687,8/31/2020,89005,VLT,Desktop,-1
3837687,8/13/2020,89005,VLT,Desktop,1
431448,8/31/2020,5138,TGU,Standalone,6
3838438,8/7/2020,87204,TLT,Desktop,1
3837687,8/7/2020,87204,YAI,Desktop,1
3838438,8/7/2020,87192,TLT,Desktop,1
3838438,8/7/2020,87190,YAI,Desktop,1
3838438,8/7/2020,87211,VPR,Desktop,1
3837687,8/24/2020,92187,TLT,Desktop,1
3837687,8/24/2020,92198,YAI,Desktop,1
3837687,8/24/2020,92188,TLT,Desktop,1
2380614,10/14/2020,9051,TLT,Desktop,2
2380614,10/14/2020,9054,YA,Desktop,1
2380614,10/14/2020,9048,V3D,Desktop,1
2380614,9/26/2020,2623,YAI,Desktop,1
3838438,8/4/2020,86259,YA,Desktop,1
3837687,8/27/2020,93030,YA,Desktop,3
3837687,8/31/2020,93030,YA,Desktop,-3
3837687,8/31/2020,94009,YAI,Desktop,1
3876574,9/29/2020,3753,YAL,Desktop,1
3838438,8/5/2020,86586,TLT,Desktop,1
2380614,9/29/2020,3720,TLT,Desktop,1
3837687,8/4/2020,86258,YA,Desktop,1
3837687,8/13/2020,88984,YA,Desktop,1
3837687,8/27/2020,93022,YA,Desktop,1
3837687,8/27/2020,93046,YAI,Desktop,1
3838438,8/27/2020,93021,TLT,Desktop,1
3838438,8/27/2020,93027,VPR,Desktop,1
3837687,8/27/2020,93028,TLT,Desktop,4
3838438,8/27/2020,93025,YA,Desktop,1
3837687,8/27/2020,93032,TLT,Desktop,1
3837687,9/4/2020,94113,TLT,Desktop,-1
3837687,8/31/2020,94113,TLT,Desktop,1
3837687,8/31/2020,94114,TLT,Desktop,1
3838438,8/2/2020,85683,YA,Desktop,1
2380614,9/27/2020,2920,YA,Desktop,1
3837687,8/4/2020,85951,VPR,Desktop,1
2380614,9/27/2020,2909,YAL,Desktop,1
3876574,9/27/2020,2927,YAI,Desktop,1
3876574,9/29/2020,3730,YAL,Desktop,1
3876574,9/29/2020,3725,TLT,Desktop,2
2380614,9/27/2020,2925,V3D,Desktop,1
2380614,10/23/2020,12183,TLT,Desktop,1
2380614,9/27/2020,2920,TLT,Desktop,1
3876574,9/29/2020,3713,TLT,Desktop,1
2380614,10/23/2020,12174,TLT,Desktop,1
2380614,9/27/2020,2924,TLT,Desktop,1
3838438,8/27/2020,93047,VPR,Desktop,1
3837687,8/1/2020,85409,YAL,Desktop,1
3876574,9/27/2020,2929,V3D,Desktop,1
2380614,10/23/2020,12211,YA,Desktop,1
2380614,10/23/2020,12196,VPR,Desktop,1
2380614,10/23/2020,12204,VPR,Desktop,1
2380614,10/23/2020,12194,TLT,Desktop,1
2380614,10/14/2020,9043,VSI,Desktop,1
3837687,8/26/2020,92751,YAI,Desktop,1
2380614,9/27/2020,2927,TLT,Desktop,1
2380614,10/15/2020,9440,YA,Desktop,1
3838438,8/31/2020,94137,YA,Desktop,1
2380614,9/28/2020,3399,V3D,Desktop,1
3876574,9/27/2020,2939,YAL,Desktop,1
2380614,10/14/2020,9002,TLT,Desktop,1
2380614,9/27/2020,2916,TLT,Desktop,1
2380614,9/27/2020,2935,YAI,Desktop,1
2380614,9/27/2020,2938,TLT,Desktop,1
3838438,8/31/2020,94150,TLT,Desktop,1
2380614,10/23/2020,12194,YAI,Desktop,1
2380614,10/15/2020,9443,TLT,Desktop,2
2380614,10/14/2020,9095,YA,Desktop,-1
2380614,9/27/2020,3298,YAI,Desktop,1
2380614,10/14/2020,9095,YA,Desktop,1
2380614,10/23/2020,12212,TLT,Desktop,1
2380614,9/28/2020,3690,YA,Desktop,1
2380614,10/23/2020,12211,YAI,Desktop,1
2380614,10/23/2020,12211,YAL,Desktop,1
2380614,9/27/2020,2924,YAI,Desktop,1
2380614,10/23/2020,12186,YA,Desktop,1
2380614,9/27/2020,3303,YA,Desktop,2
2380614,10/23/2020,12182,VSI,Desktop,1
2380614,9/27/2020,3302,YA,Desktop,1
2380614,9/27/2020,2942,YA,Desktop,1
2380614,10/15/2020,9153,YA,Desktop,1
3837687,8/5/2020,85409,YAL,Desktop,-1
3837687,8/3/2020,85409,YAL,Desktop,1
2380614,9/29/2020,4028,YA,Desktop,1
2380614,9/29/2020,4027,YA,Desktop,1
2380614,9/28/2020,3355,TLT,Desktop,1
2380614,10/15/2020,9146,YAL,Desktop,1
2380614,9/28/2020,3364,VSI,Desktop,1
2380614,10/13/2020,8979,YAI,Desktop,1
2380614,10/14/2020,9029,TLT,Desktop,1
2380614,10/10/2020,7717,VPR,Desktop,1
2380614,9/22/2020,1288,YA,Desktop,1
2380614,10/10/2020,7702,TLT,Desktop,1
2380614,9/22/2020,1273,VLT,Desktop,1
2380614,10/10/2020,7723,TLT,Desktop,1
2380614,10/10/2020,7703,YAI,Desktop,1
2380614,10/13/2020,8982,TLT,Desktop,1
3876574,10/13/2020,8423,VPR,Desktop,1
2380614,10/12/2020,8337,YAI,Desktop,1
2380614,9/22/2020,1280,YAI,Desktop,1
2380614,9/22/2020,1291,YA,Desktop,1
2380614,10/10/2020,7715,YAL,Desktop,1
2380614,10/13/2020,8407,TLT,Desktop,1
2380614,9/22/2020,1525,YAI,Desktop,1
2380614,9/22/2020,1323,YA,Desktop,1
2380614,10/13/2020,8410,VPR,Desktop,1
2380614,10/13/2020,8438,VSI,Desktop,1
2380614,10/13/2020,8687,YAI,Desktop,1
2380614,10/13/2020,8679,TLT,Desktop,1
2380614,10/12/2020,8085,VLT,Desktop,1
2380614,10/13/2020,8418,V3D,Desktop,1
2380614,10/13/2020,8416,YA,Desktop,1
3876574,10/13/2020,8436,TLT,Desktop,1
3876574,10/13/2020,8404,TLT,Desktop,1
2380614,9/22/2020,1265,TLT,Desktop,1
2380614,10/12/2020,8372,YAI,Desktop,1
2380614,10/12/2020,8373,YAI,Desktop,1
2380614,10/12/2020,8369,YAI,Desktop,1
2380614,10/12/2020,8367,YA,Desktop,1
2380614,10/12/2020,8370,YA,Desktop,2
2380614,10/11/2020,8031,YAL,Desktop,1
2380614,10/12/2020,8356,V3D,Desktop,1
3876574,10/11/2020,8014,YAL,Desktop,1
3876574,10/14/2020,8014,YAL,Desktop,-1
2380614,10/11/2020,8018,YA,Desktop,1
2380614,10/13/2020,8889,TLT,Desktop,1
2380614,10/10/2020,8000,YAI,Desktop,1
2380614,10/13/2020,8978,VPR,Desktop,1
2380614,10/12/2020,8363,YAI,Desktop,1
2380614,10/11/2020,8037,YAI,Desktop,1
2380614,10/12/2020,8352,VLT,Desktop,2
2380614,10/11/2020,8033,V3D,Desktop,1
2380614,9/22/2020,1308,YA,Desktop,2
2380614,9/22/2020,1323,TLT,Desktop,1
2380614,9/22/2020,1324,VPR,Desktop,1
2380614,10/12/2020,8343,YA,Desktop,2
2380614,9/22/2020,1322,YA,Desktop,1
2380614,10/12/2020,8343,V3D,Desktop,1
2380614,9/22/2020,1299,V3D,Desktop,1
2380614,10/11/2020,8039,YA,Desktop,1
2380614,9/22/2020,1297,TLA,Desktop,1
2380614,9/22/2020,1307,YA,Desktop,1
2380614,10/11/2020,8021,V3D,Desktop,1
2380614,9/22/2020,1295,TLT,Desktop,1
2380614,9/22/2020,1553,TLT,Desktop,1
2380614,10/12/2020,8375,YA,Desktop,1
2380614,10/13/2020,8415,TLT,Desktop,1
2380614,9/25/2020,2298,TLT,Desktop,1
2380614,9/25/2020,2293,YAI,Desktop,1
2380614,9/22/2020,1555,YA,Desktop,1
2380614,10/12/2020,8332,V3D,Desktop,1
3876574,10/13/2020,8439,TLT,Desktop,1
2380614,10/12/2020,8337,V3D,Desktop,1
2380614,9/22/2020,1555,YAI,Desktop,1
2380614,10/12/2020,8336,TLT,Desktop,1
2380614,9/25/2020,2319,VPR,Desktop,1
2380614,9/25/2020,2313,VLT,Desktop,1
2380614,10/13/2020,8435,VPR,Desktop,1
2380614,10/13/2020,8437,YA,Desktop,1
3876574,10/15/2020,9482,TLT,Desktop,1
2380614,9/25/2020,2318,VPR,Desktop,1
2380614,9/25/2020,2323,YAL,Desktop,1
3876574,10/15/2020,9496,YAL,Desktop,1
2380614,9/28/2020,3688,TLT,Desktop,1
2380614,9/28/2020,3381,VPR,Desktop,1
2380614,10/13/2020,8426,VPR,Desktop,1
2380614,9/28/2020,3685,YAL,Desktop,1
2380614,9/28/2020,3390,YAL,Desktop,1
2380614,9/27/2020,3301,TLT,Desktop,1
2380614,10/13/2020,8427,VPR,Desktop,1
2380614,10/13/2020,8433,TLT,Desktop,1
2380614,10/13/2020,8411,YAL,Desktop,1
2380614,10/13/2020,8408,V3D,Desktop,1
2380614,9/25/2020,2309,TLT,Desktop,1
3876574,10/13/2020,8695,TLT,Desktop,1
2380614,10/12/2020,8048,YA,Desktop,1
2380614,10/13/2020,8627,V3D,Desktop,1
2380614,10/13/2020,8985,YAI,Desktop,1
3876574,9/23/2020,1619,VSI,Desktop,1
2380614,10/12/2020,8081,V3D,Desktop,1
2380614,10/12/2020,8076,V3D,Desktop,1
2380614,10/12/2020,8079,V3D,Desktop,1
2380614,10/12/2020,8072,VLT,Desktop,1
3876574,10/12/2020,8341,TLT,Desktop,1
2380614,10/12/2020,8062,V3D,Desktop,1
2380614,10/10/2020,7719,TLT,Desktop,1
2380614,10/10/2020,7724,YA,Desktop,1
2380614,9/22/2020,1560,TLT,Desktop,1
2380614,10/12/2020,8352,TLT,Desktop,1
2380614,10/10/2020,7722,YAI,Desktop,1
2380614,10/13/2020,8719,TLT,Desktop,1
2380614,10/13/2020,8692,YA,Desktop,1
2380614,10/13/2020,8701,YAI,Desktop,1
2380614,10/13/2020,8717,VPR,Desktop,1
3876574,9/22/2020,1270,VLT,Desktop,-1
2380614,10/12/2020,8087,V3D,Desktop,1
2380614,10/12/2020,8078,YAL,Desktop,1
2380614,10/12/2020,8080,YA,Desktop,1
2380614,9/23/2020,1574,YA,Desktop,1
2380614,9/23/2020,1579,VPR,Desktop,1
2380614,9/23/2020,1569,YAL,Desktop,1
2380614,10/12/2020,8094,TLT,Desktop,1
2380614,10/12/2020,8084,V3D,Desktop,1
KNOWN,10/9/2020,7336,VPR,Desktop,1
2380614,9/22/2020,927,YAI,Desktop,-1
2380614,9/21/2020,927,YAI,Desktop,1
3876574,9/22/2020,1270,VLT,Desktop,1
2380614,10/14/2020,9047,TLT,Desktop,1
2380614,10/14/2020,9047,YA,Desktop,1
2380614,10/14/2020,9054,TLT,Desktop,1
2380614,10/14/2020,9027,VMA,Desktop,1
2380614,9/23/2020,1584,YA,Desktop,1
2380614,10/14/2020,9059,V3D,Desktop,1
2380614,10/14/2020,9065,YAI,Desktop,1
2380614,9/23/2020,1596,V3D,Desktop,1
2380614,9/23/2020,1592,TLT,Desktop,1
2380614,10/14/2020,9062,TLT,Desktop,1
2380614,10/14/2020,9060,TLT,Desktop,1
3876574,10/14/2020,9071,TLT,Desktop,1
3876574,10/14/2020,9044,V3D,Desktop,1
3876574,10/13/2020,8714,VSI,Desktop,1
2380614,10/14/2020,9090,TLT,Desktop,1
2380614,10/14/2020,9083,YA,Desktop,1
2380614,10/14/2020,9091,YAI,Desktop,1
2380614,10/14/2020,9058,YAL,Desktop,1
2380614,10/14/2020,9035,VPR,Desktop,1
2380614,10/14/2020,9020,VPR,Desktop,1
2380614,10/14/2020,9097,YAI,Desktop,1
2380614,10/14/2020,9082,YA,Desktop,1
2380614,10/27/2020,9082,YA,Desktop,-1
2380614,10/14/2020,9050,TLT,Desktop,1
2380614,10/14/2020,9013,VMA,Desktop,1
2380614,10/27/2020,9010,TLT,Desktop,-1
2380614,10/14/2020,9010,TLT,Desktop,1
2380614,9/23/2020,1757,TLT,Desktop,1
2380614,10/13/2020,8977,YAI,Desktop,1
2380614,10/12/2020,8354,TLT,Desktop,1
2380614,10/12/2020,8373,TLT,Desktop,1
2380614,10/12/2020,8363,YA,Desktop,1
2380614,10/12/2020,8360,TFS,Desktop,1
3876574,10/12/2020,8374,VSI,Desktop,1
2380614,10/12/2020,8372,YA,Desktop,1
2380614,9/23/2020,1631,YAL,Desktop,1
2380614,9/23/2020,1639,TLA,Desktop,1
2380614,9/23/2020,1635,TLT,Desktop,1
2380614,9/23/2020,1639,TLT,Desktop,1
2380614,9/23/2020,1758,TLT,Desktop,1
2380614,9/23/2020,1610,YAI,Desktop,1
2380614,9/23/2020,1606,YA,Desktop,1
2380614,10/12/2020,8366,YA,Desktop,1
2380614,10/12/2020,8377,YA,Desktop,1
2380614,10/12/2020,8376,YAI,Desktop,1
2380614,9/23/2020,1596,TLA,Desktop,1
2380614,9/23/2020,1613,TLT,Desktop,1
2380614,10/12/2020,8375,V3D,Desktop,1
2380614,10/12/2020,8361,YA,Desktop,1
2380614,10/12/2020,8369,YAL,Desktop,1
918733,9/15/2020,369,VLT,Desktop,-1
2380614,10/13/2020,8420,YA,Desktop,1
2338750,8/6/2020,SFX22,TGU,Standalone,20
7026111,9/9/2020,1119,V3D,Desktop,-8
2380614,10/14/2020,9030,TLT,Desktop,1
2380614,10/14/2020,9036,VPR,Desktop,1
2380614,10/14/2020,9046,TLT,Desktop,1
2380614,10/13/2020,8696,TLT,Desktop,1
2380614,10/14/2020,8696,TLT,Desktop,-1
2380614,10/13/2020,8694,YA,Desktop,1
3876574,10/13/2020,8711,YA,Desktop,1
2380614,10/22/2020,12146,YA,Desktop,1
3876574,10/13/2020,8701,YA,Desktop,1
2380614,10/12/2020,8091,YAL,Desktop,1
2380614,10/12/2020,8168,YA,Desktop,1
2380614,10/13/2020,8434,VMA,Desktop,1
2380614,10/13/2020,8423,YA,Desktop,1
3876574,10/13/2020,8682,VPR,Desktop,1
2380614,10/13/2020,8436,TFS,Desktop,1
2380614,10/14/2020,9023,TLT,Desktop,1
2380614,10/22/2020,12144,YA,Desktop,1
2380614,10/13/2020,8698,VPR,Desktop,1
KNOWN,10/9/2020,7356,VPR,Desktop,1
2380614,10/13/2020,8698,TLT,Desktop,1
2380614,9/23/2020,1575,YAL,Desktop,1
2380614,10/22/2020,11803,YA,Desktop,2
2380614,10/22/2020,11825,TLT,Desktop,1
3876574,10/13/2020,8980,TLT,Desktop,1
2380614,10/13/2020,8699,YA,Desktop,1
2380614,10/13/2020,8711,V3D,Desktop,1
2380614,10/14/2020,9017,VLT,Desktop,-1
2380614,10/14/2020,9017,VLT,Desktop,1
3876574,10/15/2020,9123,TLT,Desktop,-2
3876574,10/15/2020,9123,TLT,Desktop,2
3876574,10/14/2020,9072,YAL,Desktop,1
3876574,10/22/2020,11803,V3D,Desktop,1
3876574,10/15/2020,9142,V3D,Desktop,1
3876574,10/15/2020,9136,YA,Desktop,1
2380614,10/13/2020,8708,TLT,Desktop,1
2380614,10/13/2020,8712,YAL,Desktop,1
2380614,10/22/2020,11818,YAI,Desktop,1
2380614,10/22/2020,11813,TLT,Desktop,1
2380614,10/22/2020,11814,TLT,Desktop,1
2380614,10/22/2020,11801,TLT,Desktop,1
2380614,10/22/2020,11799,TLT,Desktop,1
3876574,10/13/2020,8438,TLT,Desktop,1
3876574,10/14/2020,9056,VLT,Desktop,1
2380614,10/22/2020,11804,TLT,Desktop,1
2380614,10/22/2020,11803,TLT,Desktop,1
2380614,10/22/2020,11825,VPR,Desktop,1
3837687,8/8/2020,85949,VPR,Desktop,-1
3837687,8/4/2020,85949,VPR,Desktop,1
3837687,8/4/2020,86265,YAL,Desktop,1
3838438,8/4/2020,86284,TLT,Desktop,1
3838438,8/4/2020,86279,YA,Desktop,1
3838438,8/7/2020,86284,TLT,Desktop,-1
3838438,8/4/2020,86269,YA,Desktop,1
3837687,8/4/2020,86279,YA,Desktop,1
3837687,8/6/2020,86884,VPR,Desktop,1
2380614,9/26/2020,2610,TLT,Desktop,1
2380614,10/15/2020,9162,VPR,Desktop,1
2380614,10/15/2020,9140,V3D,Desktop,2
2380614,9/26/2020,2617,TLT,Desktop,1
2380614,9/26/2020,2603,YA,Desktop,1
2380614,9/26/2020,2905,YAL,Desktop,1
2380614,10/15/2020,9134,VSI,Desktop,1
3837687,8/26/2020,92719,TLT,Desktop,1
3876574,10/16/2020,9539,V3D,Desktop,1
3837687,8/4/2020,85098,VSI,Desktop,-1
3838438,8/4/2020,86299,YA,Desktop,1
3838438,8/26/2020,92728,YAI,Desktop,1
3838438,8/4/2020,86285,YA,Desktop,1
3838438,8/26/2020,92718,VPR,Desktop,1
3837687,8/25/2020,92460,YAI,Desktop,1
3838438,8/26/2020,92739,YAI,Desktop,1
3838438,8/26/2020,92722,YAL,Desktop,1
2380614,10/15/2020,9108,TLT,Desktop,1
3838438,8/26/2020,92730,TLT,Desktop,1
3838438,8/4/2020,86266,YA,Desktop,1
3837687,8/26/2020,92718,VPR,Desktop,1
3837687,8/26/2020,92712,YAI,Desktop,1
3837687,8/26/2020,92714,TLT,Desktop,1
2380614,9/27/2020,2917,VPR,Desktop,1
3876574,9/27/2020,2927,V3D,Desktop,1
3876574,9/27/2020,2942,YAI,Desktop,1
2380614,9/27/2020,2918,YA,Desktop,1
2380614,10/15/2020,9484,YAI,Desktop,1
2380614,10/15/2020,9502,TLT,Desktop,1
2380614,10/15/2020,9466,YAI,Desktop,1
2380614,9/27/2020,2930,TLT,Desktop,1
2380614,9/27/2020,2937,YAI,Desktop,1
2380614,9/27/2020,2937,V3D,Desktop,1
2380614,10/22/2020,12145,TLT,Desktop,1
2380614,10/17/2020,9919,VLT,Desktop,1
2380614,10/17/2020,9920,TLT,Desktop,1
